subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
3,1,99999,99999,0,1,36,62
3,4,3,3,1,1,109,63
3,2,3,3,1,1,27,64
3,4,2,3,0,0,91,65
3,1,99999,99999,1,1,28,66
3,1,99999,99999,1,1,125,67
3,2,3,3,1,1,167,68
3,2,3,3,1,1,62,69
3,4,3,3,1,1,64,70
3,1,99999,99999,0,1,45,71
3,4,3,3,1,1,79,72
3,2,3,3,1,1,148,73
3,2,3,3,1,1,12,74
3,1,99999,99999,0,0,93,75
3,4,3,3,1,1,112,76
3,3,2,1,0,1,99,77
3,1,99999,99999,0,0,95,78
3,1,99999,99999,0,1,86,79
3,2,3,3,0,0,24,80
3,2,3,3,0,1,135,81
3,4,2,3,0,1,166,82
3,4,2,2,0,1,29,83
3,2,3,3,1,1,147,84
3,4,3,3,1,1,78,85
3,3,2,2,0,1,73,86
3,3,2,2,0,0,191,87
3,1,99999,99999,0,0,77,88
3,3,0,1,0,1,52,89
3,1,99999,99999,0,0,127,90
3,1,99999,99999,0,0,116,91
3,2,3,3,0,1,63,92
3,4,3,3,0,1,75,93
3,4,3,3,1,1,114,94
3,4,3,3,1,1,165,95
3,2,3,3,0,1,117,96
3,2,3,3,1,1,32,97
3,4,3,3,1,1,92,98
3,1,99999,99999,0,1,8,99
3,2,3,3,1,1,16,100
3,2,3,3,0,0,9,101
3,3,3,2,1,1,97,102
3,1,99999,99999,0,0,108,103
3,1,99999,99999,0,1,198,104
3,2,3,3,1,1,57,105
3,2,3,3,1,1,113,106
3,2,3,3,1,1,149,107
3,1,99999,99999,1,1,90,108
3,4,3,3,0,0,33,109
3,3,2,2,1,0,7,110
3,4,3,3,0,1,158,111
3,3,1,2,0,1,71,112
3,4,3,3,0,1,134,113
3,2,3,NaN,0,1,136,114
3,4,3,3,1,1,59,115
3,2,3,3,0,0,2,116
3,4,3,3,1,1,34,117
3,2,3,3,0,1,123,118
3,2,3,3,1,1,84,119
3,3,1,1,1,1,89,120
3,1,99999,99999,0,0,130,121
3,3,2,1,0,0,40,122
3,3,1,2,0,1,46,123
3,4,3,3,1,1,157,124
3,4,3,3,1,1,200,125
3,1,99999,99999,0,0,58,126
3,3,1,2,1,1,19,127
3,3,2,2,0,1,196,128
3,1,99999,99999,0,0,42,129
3,4,2,3,0,1,180,130
3,3,1,1,1,1,50,131
3,2,3,3,0,0,110,132
3,4,3,3,1,1,65,133
3,4,3,3,1,0,61,134
3,4,3,3,1,1,100,135
3,4,2,2,0,0,169,136
3,1,99999,99999,1,1,13,137
3,3,1,2,0,1,80,138
3,2,3,3,0,1,49,139
3,4,3,3,0,1,88,140
3,4,2,2,0,1,160,141
3,3,1,1,0,1,72,142
3,3,1,2,0,1,106,143
3,4,3,3,0,0,171,144
3,1,99999,99999,1,1,192,145
3,3,2,1,1,1,195,146
3,3,1,1,0,1,199,147
3,3,1,1,1,1,15,148
3,2,3,3,1,1,156,149
3,1,99999,99999,1,1,124,150
3,1,99999,99999,1,1,81,151
3,4,3,3,1,1,170,152
3,1,99999,99999,1,1,74,153
3,4,2,3,0,0,6,154
3,1,99999,99999,0,1,184,155
3,3,1,1,0,1,22,156
3,1,99999,99999,0,0,20,157
3,3,2,2,0,0,155,158
3,3,2,1,0,1,30,159
3,1,99999,99999,1,1,55,160
3,1,99999,99999,0,1,67,161
3,4,3,3,0,0,185,162
3,3,2,1,0,0,190,163
3,4,3,3,1,1,10,164
