subject,condition,studyResp,named,whichItem,trial
5,4,0,0,104,22
5,4,0,0,175,23
5,2,1,1,103,24
5,2,1,0,87,25
5,2,2,1,170,26
5,3,1,0,50,27
5,3,0,0,33,28
5,4,1,0,142,29
5,1,0,0,98,30
5,2,1,0,71,31
5,1,2,0,121,32
5,3,0,1,8,33
5,1,0,0,154,34
5,4,0,0,45,35
5,3,0,0,152,36
5,1,0,0,156,37
5,2,0,0,173,38
5,2,0,0,153,39
5,4,0,0,25,40
5,4,2,0,109,41
5,4,0,1,57,42
5,3,1,1,113,43
5,2,1,0,11,44
5,4,1,0,115,45
5,2,2,0,120,46
5,1,1,1,48,47
5,4,1,0,168,48
5,4,2,0,86,49
5,1,1,0,23,50
5,1,0,0,165,51
5,3,1,0,135,52
5,4,0,0,116,53
5,1,0,0,162,54
5,3,0,1,29,55
5,4,1,1,148,56
5,3,0,0,155,57
5,1,1,0,133,58
5,4,1,0,94,59
5,4,1,0,2,60
5,4,1,0,26,61
5,1,0,0,63,62
5,3,2,0,35,63
5,3,0,0,36,64
5,2,1,0,190,65
5,2,2,1,58,66
5,4,0,0,28,67
5,2,0,0,34,68
5,2,0,0,189,69
5,2,0,0,117,70
5,4,0,0,161,71
5,2,0,0,166,72
5,2,1,0,180,73
5,4,1,0,128,74
5,1,0,0,197,75
5,4,0,0,132,76
5,2,0,0,15,77
5,3,0,1,144,78
5,3,0,0,99,79
5,3,1,0,42,80
5,1,0,0,100,81
5,3,1,0,84,82
5,3,1,0,118,83
5,1,0,0,16,84
5,1,0,0,193,85
5,2,1,0,143,86
5,3,0,0,110,87
5,4,1,0,169,88
5,3,0,1,46,89
5,2,2,1,12,90
5,4,0,0,40,91
5,1,0,0,151,92
5,1,0,1,101,93
5,1,1,1,27,94
5,3,0,0,82,95
5,2,0,0,17,96
5,1,0,0,187,97
5,1,0,0,106,98
5,4,0,1,157,99
5,2,0,0,195,100
5,1,0,0,68,101
5,2,0,0,125,102
5,4,0,0,164,103
5,1,0,0,69,104
5,1,0,0,65,105
5,1,0,1,183,106
5,1,2,0,38,107
5,4,0,0,186,108
5,2,0,0,97,109
5,1,1,0,199,110
5,1,1,0,77,111
5,2,0,0,7,112
5,3,0,0,158,113
5,3,0,0,3,114
5,3,0,0,172,115
5,3,0,1,130,116
5,3,2,0,141,117
5,4,0,0,56,118
5,4,1,0,21,119
5,3,0,0,83,120
5,1,0,0,51,121
5,2,0,0,93,122
5,2,1,1,37,123
5,3,0,0,160,124
5,2,0,0,177,125
5,1,0,0,30,126
5,2,1,0,49,127
5,2,0,0,62,128
5,4,0,0,111,129
5,1,1,0,119,130
5,2,1,0,178,131
5,3,0,0,112,132
5,1,0,0,171,133
5,3,0,0,105,134
5,1,1,0,126,135
5,4,1,1,114,136
5,3,0,0,182,137
5,4,0,0,149,138
5,3,0,0,96,139
5,3,0,0,22,140
5,4,2,0,1,141
5,4,0,0,92,142
5,4,1,0,163,143
5,2,2,0,191,144
5,4,1,1,32,145
5,1,1,0,129,146
5,2,1,0,184,147
5,1,1,0,13,148
5,2,1,0,123,149
5,1,0,0,43,150
5,1,0,1,138,151
5,4,0,0,95,152
5,4,0,0,81,153
5,2,0,0,131,154
5,1,1,1,200,155
5,1,1,0,6,156
5,4,0,0,107,157
5,3,0,0,9,158
5,3,0,0,76,159
5,2,0,0,196,160
5,1,0,0,67,161
5,3,0,0,88,162
5,2,0,1,31,163
5,3,0,0,139,164
5,4,1,1,5,165
5,4,0,0,137,166
5,1,0,0,61,167
5,4,0,0,60,168
5,3,0,0,89,169
5,3,1,0,19,170
5,3,0,0,127,171
5,4,2,0,176,172
5,1,1,0,75,173
5,2,3,1,90,174
5,3,1,0,18,175
5,1,NaN,0,145,176
5,4,0,0,72,177
5,4,2,0,24,178
5,2,2,1,188,179
5,2,0,0,159,180
5,3,0,0,73,181
5,3,0,0,10,182
5,3,0,0,39,183
5,1,1,0,85,184
5,4,2,0,80,185
5,1,1,0,179,186
5,3,0,0,108,187
5,1,NaN,0,91,188
5,3,0,0,59,189
5,1,1,0,136,190
5,4,0,0,20,191
